Startup Name,Industry,Pitchers City,Pitchers State,Original Ask Amount,Original Offered Equity,Total Deal Amount,Total Deal Equity,Number of Sharks in Deal,Namita Investment Amount,Aman Investment Amount,Anupam Investment Amount,Vineeta Investment Amount,Peyush Investment Amount,Ritesh Investment Amount,Amit Investment Amount,Guest Investment Amount
BluePineFoods,Food and Beverage,Delhi,Delhi,50,5,75,16,3,0,25,0,25,0,0,0,25
BoozScooters,Vehicles/Electrical Vehicles,Ahmedabad,Gujarat,40,15,40,50,2,0,0,0,20,0,0,0,20
HeartUpMySleeves,Beauty/Fashion,Delhi,Delhi,25,10,25,30,2,0,0,12.5,12.5,0,0,0,0
TagzFoods,Food and Beverage,Bangalore,Karnataka,70,1,70,2.75,1,0,0,0,0,0,0,0,70
HeadAndHeart,Children/Education,Patiala,Punjab,50,5,0,0,0,0,0,0,0,0,0,0,0
Agritourism,Agriculture,Baramati,Maharashtra,50,5,0,0,0,0,0,0,0,0,0,0,0
qZenseLabs,Food and Beverage,"Delhi,Mohali","Delhi,Punjab",100,0.25,0,0,0,0,0,0,0,0,0,0,0
Peeschute,Beauty/Fashion,Jalna,Maharashtra,75,4,75,6,1,0,75,0,0,0,0,0,0
NOCD,Food and Beverage,Bangalore,Karnataka,50,2,20,15,1,0,0,0,20,0,0,0,0
CosIQ,Beauty/Fashion,Delhi,Delhi,50,7.5,50,25,2,0,0,25,25,0,0,0,0
JhaJiAchaar,Food and Beverage,Darbhanga,Bihar,50,10,56.6,5.62,2,28.3,0,0,28.3,0,0,0,0
Bummer,Beauty/Fashion,Ahmedabad,Gujarat,75,4,75,7.5,2,37.5,37.5,0,0,0,0,0,0
RevampMoto,Vehicles/Electrical Vehicles,Nashik,Maharashtra,100,1,100,1.5,2,0,50,50,0,0,0,0,0
HungryHead,Food and Beverage,Mumbai,Maharashtra,50,5,0,0,0,0,0,0,0,0,0,0,0
ShrawaniEngineers,Beauty/Fashion,Nagpur,Maharashtra,20,10,0,0,0,0,0,0,0,0,0,0,0
SkippiIcePops,Food and Beverage,Hyderabad,Telangana,45,5,100,15,5,20,20,20,20,0,0,0,20
Menstrupedia,Children/Education,Ahmedabad,Gujarat,50,10,50,20,1,50,0,0,0,0,0,0,0
Hecoll,Beauty/Fashion,Hyderabad,Telangana,100,1,0,0,0,0,0,0,0,0,0,0,0
RaisingSuperstars,Children/Education,Gurgaon,Haryana,100,2,100,4,2,0,50,0,0,0,0,0,50
Torch-it,Children/Education,Ahmedabad,Gujarat,75,1,0,0,0,0,0,0,0,0,0,0,0
Kavach,Children/Education,Gurgaon,Haryana,5,10,5,10,2,0,2.5,2.5,0,0,0,0,0
LaKheerDeli,Food and Beverage,Pune,Maharashtra,50,7.5,0,0,0,0,0,0,0,0,0,0,0
BeyondSnack,Food and Beverage,Thiruvananthapuram,Kerala,50,2.5,50,2.5,2,0,25,0,0,0,0,0,25
VivalyfInnovations,Medical/Health,Hyderabad,Telangana,56,7.5,56,33.33,2,0,0,28,0,28,0,0,0
MotionBreeze,Vehicles/Electrical Vehicles,Vadodara,Gujarat,30,3,30,6,1,0,0,0,0,0,0,0,30
Altor,Manufacturing,Kolkata,West Bengal,50,5,50,7,2,25,25,0,0,0,0,0,0
Ariro,Manufacturing,Chennai,Tamil Nadu,50,2.5,50,10,2,0,25,0,0,25,0,0,0
KabiraHandmad,Food and Beverage,Jaipur,Rajasthan,100,5,0,0,0,0,0,0,0,0,0,0,0
Nuutjob,Beauty/Fashion,Ahmedabad,Gujarat,25,5,25,20,3,8.33,8.33,0,0,8.33,0,0,0
Meatyour,Food and Beverage,Pune,Maharashtra,30,5,30,20,3,0,10,10,0,10,0,0,0
EventBeep,Children/Education,Pune,Maharashtra,30,2,30,3,3,0,10,0,0,10,0,0,10
Gopal's56,Food and Beverage,Delhi,Delhi,30000,25,0,0,0,0,0,0,0,0,0,0,0
ARRCOATSurfaceTextures,Manufacturing,Delhi,Delhi,50,5,50,15,1,0,0,50,0,0,0,0,0
Farda,Beauty/Fashion,Nagpur,Maharashtra,30,10,30,20,2,15,15,0,0,0,0,0,0
Auli,Beauty/Fashion,Kolkata,West Bengal,75,4,75,15,1,75,0,0,0,0,0,0,0
SweeDesi,Food and Beverage,Pune,Maharashtra,40,3,0,0,0,0,0,0,0,0,0,0,0
LOKA,Technology/Software,Delhi,Delhi,40,5,40,24,3,0,13.33,13.33,0,13.33,0,0,0
Annie,Children/Education,Bangalore,Karnataka,30,0.5,105,3,3,35,0,35,0,35,0,0,0
Carragreen,Green/CleanTech,Indore,Madhya Pradesh,50,10,50,20,2,0,0,25,0,25,0,0,0
TheYarnBazaar,Manufacturing,Mumbai,Maharashtra,50,2,100,10,4,0,25,25,0,25,0,0,25
TheRenalProject,Medical/Health,Mumbai,Maharashtra,100,3,100,6,2,50,50,0,0,0,0,0,0
MorrikoPureFoods,Food and Beverage,Valsad,Gujarat,100,3,0,0,0,0,0,0,0,0,0,0,0
GoodGoodPiggy,Technology/Software,Delhi,Delhi,45,5,0,0,0,0,0,0,0,0,0,0,0
HammerLifestyle,Electronics,Panipat,Haryana,30,3,100,40,1,0,100,0,0,0,0,0,0
PNTRobotics,Technology/Software,Mumbai,Maharashtra,50,4,25,25,1,0,0,0,0,25,0,0,0
Cocofit,Food and Beverage,Hyderabad,Telangana,5.00E-05,5,5.00E-05,5,3,1.60E-05,1.60E-05,1.60E-05,0,0,0,0,0
BambooIndia,Manufacturing,Pune,Maharashtra,80,4,50,3.5,2,0,0,25,0,0,0,0,25
FlyingFur,Animal/Pets,Delhi,Delhi,75,7,0,0,0,0,0,0,0,0,0,0,0
BeyondWater,Food and Beverage,Kolkata,West Bengal,75,4,75,15,2,37.5,37.5,0,0,0,0,0,0
Let'sTry,Food and Beverage,Delhi,Delhi,45,2,45,12,2,0,22.5,22.5,0,0,0,0,0
FindYourKicksIndia,Beauty/Fashion,Ludhiana,Punjab,50,10,50,25,5,10,10,10,0,10,0,0,10
AasVidyalaya,Children/Education,Mumbai,Maharashtra,150,3,150,15,3,50,0,0,0,50,0,0,50
Outbox,Business Services,Kolkata,West Bengal,50,5,0,0,0,0,0,0,0,0,0,0,0
RoadBounce,Technology/Software,Pune,Maharashtra,80,10,80,20,1,0,0,0,0,80,0,0,0
Mommy'sKitchen,Food and Beverage,Mumbai,Maharashtra,90,3,0,0,0,0,0,0,0,0,0,0,0
IndiaHempandCo,Food and Beverage,Bangalore,Karnataka,50,4,0,0,0,0,0,0,0,0,0,0,0
Otua,Vehicles/Electrical Vehicles,Gurgaon,Haryana,100,1,1,1,1,0,0,0,0,0,0,0,1
Anthyesti,Business Services,Bangalore,Karnataka,50,2.5,0,0,0,0,0,0,0,0,0,0,0
Ethik,Manufacturing,Bangalore,Karnataka,15,5,0,0,0,0,0,0,0,0,0,0,0
WeSTOCK,Animal/Pets,Ernakulam,Kerala,50,5,60,10,4,15,15,0,0,15,0,0,15
KetoIndia,Food and Beverage,Delhi,Delhi,150,1.25,0,0,0,0,0,0,0,0,0,0,0
Magiclock,Hardware,Mumbai,Maharashtra,120,8,0,0,0,0,0,0,0,0,0,0,0
TheStatePlate,Food and Beverage,"Bangalore,Kolkata","Karnataka,West Bengal",65,2,40,3,1,0,0,0,0,40,0,0,0
Bakarmax,Technology/Software,Delhi,Delhi,35,5,0,0,0,0,0,0,0,0,0,0,0
INACAN,Food and Beverage,Pune,Maharashtra,50,2,100,10,5,20,20,20,0,20,0,0,20
Get-A-Whey,Food and Beverage,Mumbai,Maharashtra,100,8,100,15,3,0,33.33,0,33.33,0,0,0,33.33
Sid07Designs,Hardware,Jammu,Jammu & Kashmir,47,10,25,75,1,0,0,0,0,25,0,0,0
TheQuirkyNaari,Beauty/Fashion,Mathura,Uttar Pradesh,35,5,35,24,2,0,0,17.5,17.5,0,0,0,0
HairOriginals,Beauty/Fashion,Gurgaon,Haryana,60,2,60,4,3,0,0,20,0,20,0,0,20
Poo-de-Cologne,Beauty/Fashion,Mumbai,Maharashtra,75,5,0,0,0,0,0,0,0,0,0,0,0
Moonshine,Food and Beverage,Mumbai,Maharashtra,80,0.5,0,0,0,0,0,0,0,0,0,0,0
Falhari,Food and Beverage,Gurgaon,Haryana,50,2,0,0,0,0,0,0,0,0,0,0,0
NamhyaFoods,Food and Beverage,Jammu,Jammu & Kashmir,100,5,50,10,1,0,50,0,0,0,0,0,0
UrbanMonkey,Beauty/Fashion,Mumbai,Maharashtra,100,1,0,0,0,0,0,0,0,0,0,0,0
GuardianGears,Manufacturing,Hyderabad,Telangana,30,5,0,0,0,0,0,0,0,0,0,0,0
ModernMyth,Beauty/Fashion,Delhi,Delhi,75,5,0,0,0,0,0,0,0,0,0,0,0
TheSassBar,Beauty/Fashion,Mumbai,Maharashtra,40,8,50,35,2,0,0,25,0,0,0,0,25
KGAgrotech,Agriculture,Malegaon,Maharashtra,30,10,10,40,1,0,0,0,0,10,0,0,0
NuskhaKitchen,Food and Beverage,Jaipur,Rajasthan,20,10,0,0,0,0,0,0,0,0,0,0,0
PawsIndia,Animal/Pets,Mumbai,Maharashtra,50,4,50,15,1,0,0,50,0,0,0,0,0
SunfoxTechnologies,Medical/Health,Dehradun,Uttarakhand,100,2,100,6,5,20,0,20,20,20,0,0,20
Alpino,Food and Beverage,Surat,Gujarat,150,2,0,0,0,0,0,0,0,0,0,0,0
IsakFragrances,Beauty/Fashion,Lucknow,Uttar Pradesh,50,8,50,50,1,0,0,0,0,50,0,0,0
JulaaAutomation,Manufacturing,Ahmedabad,Gujarat,50,10,0,0,0,0,0,0,0,0,0,0,0
